T1,DUNGEON_TOWER_ENTRANCE,0,0,1,0,1,Skeleton,,Skeleton001,,Theme001,MoodFrozen,,,Layout005_Tutorial,Tutorial skeletons,
35,DUNGEON_DAMP_ISLES,1,0,1,0,1,Pygmy,Crocodile,Pygmy002,,Theme002,MoodAztekNight,Forest003,,Layout005_001,Slam,
36,DUNGEON_STORMY_GARDENS,1,0,1,0,1,Pygmy,Shroom,,,Theme002,MoodBreezy,Glacier001,,Layout005_001,,
37,DUNGEON_STORMY_GARDENS,1,0,1,0,1,Pygmy,Shroom,,,Theme002,MoodBreezy,Glacier001,,Layout005_001,,
38,DUNGEON_STORMY_GARDENS,1,0,1,0,1,Pygmy,Shroom,Pygmy003,,Theme002,MoodBreezy,Glacier001,,Layout005_001,Escaper (ranged),
39,DUNGEON_HAZY_COURTYARDS,1,0,1,0,1,Crocodile,Shroom,,,Theme002,MoodPoison,Glacier002,,Layout005_001,,
40,DUNGEON_HAZY_COURTYARDS,1,0,1,0,1,Crocodile,Shroom,,,Theme002,MoodPoison,Glacier002,,Layout005_001,,
41,DUNGEON_HAZY_COURTYARDS,1,0,1,0,1,Crocodile,Shroom,Crocodile003,,Theme002,MoodPoison,Glacier002,,Layout005_001,Splitter,
42,DUNGEON_BLOOMING_ALLEYS,1,0,1,0,1,Crocodile,Pygmy,,,Theme002,MoodMorning,Glacier003,,Layout005_001,,
43,DUNGEON_BLOOMING_ALLEYS,1,0,1,0,1,Crocodile,Pygmy,,,Theme002,MoodMorning,Glacier003,,Layout005_001,,
44,DUNGEON_BLOOMING_ALLEYS,1,0,1,0,1,Crocodile,Pygmy,Crocodile002,,Theme002,MoodMorning,Glacier003,,Layout005_001,Breeder,
45,DUNGEON_MISTY_MEADOWS,1,0,1,0,1,Shroom,Pygmy,,,Theme002,MoodIceDay,Forest001,,Layout005_001,,
46,DUNGEON_MISTY_MEADOWS,1,0,1,0,1,Shroom,Pygmy,,,Theme002,MoodIceDay,Forest001,,Layout005_001,,
47,DUNGEON_MISTY_MEADOWS,1,0,1,0,1,Shroom,Pygmy,Shroom003,,Theme002,MoodIceDay,Forest001,,Layout005_001,BreederEscaper,
48,DUNGEON_DAMP_ISLES,1,0,1,0,1,Pygmy,Crocodile,,,Theme002,MoodAztekNight,Forest002,,Layout005_001,,
49,DUNGEON_DAMP_ISLES,1,0,1,0,1,Pygmy,Crocodile,,,Theme002,MoodAztekNight,Forest002,,Layout005_001,,
50,DUNGEON_DAMP_ISLES,1,0,1,0,1,Pygmy,Crocodile,Pygmy004,,Theme002,MoodAztekNight,Forest002,,Layout005_001,Whirl; Huge,
51,DUNGEON_STORMY_GARDENS,,,,,,Crocodile,Pygmy,,,Theme002,MoodBreezy,,,Layout005_001,,
52,DUNGEON_STORMY_GARDENS,,,,,,Crocodile,Pygmy,,,Theme002,MoodBreezy,,,Layout005_001,,
53,DUNGEON_STORMY_GARDENS,,,,,,Crocodile,Pygmy,Crocodile001,,Theme002,MoodBreezy,,,Layout005_001,Heal,
54,DUNGEON_HAZY_COURTYARDS,,,,,,Shroom,Crocodile,,,Theme002,MoodPoison,,,Layout005_001,,
55,DUNGEON_HAZY_COURTYARDS,,,,,,Shroom,Crocodile,,,Theme002,MoodPoison,,,Layout005_001,,
56,DUNGEON_HAZY_COURTYARDS,,,,,,Shroom,Crocodile,Shroom001,,Theme002,MoodPoison,,,Layout005_001,Slash; Poison,
57,DUNGEON_BLOOMING_ALLEYS,,,,,,Shroom,Pygmy,,,Theme002,MoodMorning,,,Layout005_001,,
58,DUNGEON_BLOOMING_ALLEYS,,,,,,Shroom,Pygmy,,,Theme002,MoodMorning,,,Layout005_001,,
59,DUNGEON_BLOOMING_ALLEYS,,,,,,Shroom,Pygmy,Pygmy001; Pygmy002; Pygmy003; Pygmy004; Crocodile001; Crocodile002; Crocodile003; Shroom001; Shroom002; Shroom003; Shroom004,Elite,Theme002,MoodMorning,,,Layout005_001,,
60,DUNGEON_FROSTY_STEPPES,1,0,1,0,1,Goblin,Worg,,,Theme003,MoodSnowMagical,Glacier001,,Layout005_001,,
61,DUNGEON_FROSTY_STEPPES,1,0,1,0,1,Worg,Goblin,,,Theme003,MoodSnowMagical,Glacier001,,Layout005_001,,
62,DUNGEON_FROSTY_STEPPES,1,0,1,0,1,Goblin,Worg,Goblin001;Goblin003,,Theme003,MoodSnowMagical,Glacier002,,Layout005_001,Slam // Breeder,
63,DUNGEON_SNOWY_PEAKS,1,0,1,0,1,Worg,Goblin,,,Theme003,MoodSnowHaze,Glacier002,,Layout005_001,,
64,DUNGEON_SNOWY_PEAKS,1,0,1,0,1,Goblin,Worg,,,Theme003,MoodSnowHaze,Glacier002,,Layout005_001,,
65,DUNGEON_SNOWY_PEAKS,1,0,1,0,1,Worg,Goblin,Worg002;Worg001,,Theme003,MoodSnowHaze,Glacier003,,Layout005_001,Dash // Escaper,
66,DUNGEON_WINDY_GLACIERS,1,0,1,0,1,Goblin,Worg,,,Theme003,MoodSnowNight,Glacier003,,Layout005_001,,
67,DUNGEON_WINDY_GLACIERS,1,0,1,0,1,Worg,Goblin,,,Theme003,MoodSnowNight,Glacier003,,Layout005_001,,
68,DUNGEON_WINDY_GLACIERS,1,0,1,0,1,Goblin,Worg,Goblin004,,Theme003,MoodSnowNight,Forest001,,Layout005_001,Leader,
69,DUNGEON_HOWLING_TUNDRAS,1,0,1,0,1,Worg,Goblin,,,Theme003,MoodSnowDawn,Forest001,,Layout005_001,,
70,DUNGEON_HOWLING_TUNDRAS,1,0,1,0,1,Goblin,Worg,,,Theme003,MoodSnowDawn,Forest001,,Layout005_001,,
71,DUNGEON_HOWLING_TUNDRAS,1,0,1,0,1,Worg,Goblin,Worg003,,Theme003,MoodSnowDawn,Forest002,,Layout005_001,Healer,
72,DUNGEON_ICY_PLATEAUS,1,0,1,0,1,Goblin,Worg,,,Theme003,MoodSnowBright,Forest002,,Layout005_001,,
73,DUNGEON_ICY_PLATEAUS,1,0,1,0,1,Worg,Goblin,,,Theme003,MoodSnowBright,Forest002,,Layout005_001,,
74,DUNGEON_ICY_PLATEAUS,1,0,1,0,1,Goblin,Worg,Goblin002,,Theme003,MoodSnowBright,Forest003,,Layout005_001,Whirl;Knockback,
75,DUNGEON_FROSTY_STEPPES,1,0,1,0,1,Yeti,Worg,,,Theme003,MoodSnowMagical,Forest003,,Layout005_001,,
76,DUNGEON_FROSTY_STEPPES,1,0,1,0,1,Worg,Yeti,,,Theme003,MoodSnowMagical,Forest003,,Layout005_001,,
77,DUNGEON_FROSTY_STEPPES,1,0,1,0,1,Yeti,Worg,Yeti003;Yeti001,,Theme003,MoodSnowMagical,Glacier001,,Layout005_001,BreederEscaper // Escaper,
78,DUNGEON_SNOWY_PEAKS,1,0,1,0,1,Worg,Yeti,,,Theme003,MoodSnowHaze,Glacier001,,Layout005_001,,
79,DUNGEON_SNOWY_PEAKS,1,0,1,0,1,Yeti,Worg,,,Theme003,MoodSnowHaze,Glacier001,,Layout005_001,,
80,DUNGEON_SNOWY_PEAKS,1,0,1,0,1,Worg,Yeti,Worg004,,Theme003,MoodSnowHaze,Glacier002,,Layout005_001,Slam; Quake,
81,DUNGEON_WINDY_GLACIERS,1,0,1,0,1,Yeti,Goblin,,,Theme003,MoodSnowNight,Glacier002,,Layout005_001,,
82,DUNGEON_WINDY_GLACIERS,1,0,1,0,1,Goblin,Yeti,,,Theme003,MoodSnowNight,Glacier002,,Layout005_001,,
83,DUNGEON_WINDY_GLACIERS,1,0,1,0,1,Yeti,Goblin,Yeti004,,Theme003,MoodSnowNight,Glacier003,,Layout005_001,Leader,
84,DUNGEON_HOWLING_TUNDRAS,1,0,1,0,1,Yeti,Worg,,,Theme003,MoodSnowDawn,Glacier003,,Layout005_001,,
85,DUNGEON_HOWLING_TUNDRAS,1,0,1,0,1,Worg,Yeti,,,Theme003,MoodSnowDawn,Glacier003,,Layout005_001,,
86,DUNGEON_HOWLING_TUNDRAS,1,0,1,0,1,Yeti,Worg,Yeti002,,Theme003,MoodSnowDawn,Forest001,,Layout005_001,Whirl;Freeze,
87,DUNGEON_ICY_PLATEAUS,1,0,1,0,1,Goblin,Yeti,,,Theme003,MoodSnowBright,Forest001,,Layout005_001,,
88,DUNGEON_ICY_PLATEAUS,1,0,1,0,1,Yeti,Worg,,,Theme003,MoodSnowBright,Forest001,,Layout005_001,,
89,DUNGEON_ICY_PLATEAUS,,,,,,Worg,Goblin,Worg001; Worg002; Worg003; Worg004; Goblin001;Goblin002;Yeti001;Yeti002;Yeti003;Yeti004,Elite,Theme003,MoodSnowBright,,,Layout005_001,,
90,DUNGEON_CREEPY_RUINS,1,0,1,0,1,Skeleton,,,,Theme001,MoodHappy,Glacier001,,Layout005_001,,
Test01,Aztec Mystic,1,0,1,0,1,Pygmy,,Pygmy001;Pygmy002,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
Test02,Worgs,,,,,,Worg,,Worg001;Worg002,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
Test03,Crocodiles,,,,,,Crocodile,,Crocodile001;Crocodile002;Crocodile003,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
Test04,Rats,,,,,,Rat,,Rat001;Rat002;Rat003,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
Test05,Anubis,,,,,,Anubis,,Anubis001;Anubis002;Anubis003,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
Test06,Mummies,,,,,,Mummy,,Mummy001;Mummy002,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
Test07,Goblins,,,,,,Goblin,,Goblin001;Goblin002,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
Test08,Yetis,,,,,,Yeti,,Yeti001;Yeti002,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
Test09,Shroom,,,,,,Shroom,,Shroom001;Shroom002;Shroom003;Shroom004,,Theme002,MoodAztekNight,Forest003,,Layout005_001,,
